K,a,b,c,d,seed,obj
8,0.032890540167673336,100.0,0.00044727375230632724,1e-06,0,-206262978.04976317
8,0.032890540167673336,100.0,0.00044727375230632724,1e-05,0,-206262978.3145485
8,0.032890540167673336,100.0,0.00044727375230632724,0.0001,0,-206262980.96239945
8,0.032890540167673336,100.0,0.00044727375230632724,0.001,0,-206263007.44067007
8,0.032890540167673336,100.0,0.00044727375230632724,0.01,0,-206263272.19939002
8,0.032890540167673336,100.0,0.00044727375230632724,0.1,0,-206265912.18521848
8,0.032890540167673336,100.0,0.00044727375230632724,1.0,0,-206293112.58942243
8,0.032890540167673336,100.0,0.00044727375230632724,10.0,0,-206517918.40223175
8,0.032890540167673336,100.0,0.00044727375230632724,100.0,0,-207702568.71035677
8,0.032890540167673336,100.0,0.00044727375230632724,1000.0,0,-213011553.173222
8,0.032890540167673336,100.0,0.00044727375230632724,10000.0,0,-226888554.9400608
8,0.032890540167673336,100.0,0.00044727375230632724,100000.0,0,-270038164.79223484
8,0.032890540167673336,100.0,0.00044727375230632724,1000000.0,0,-369566820.3580511
8,0.032890540167673336,100.0,0.00044727375230632724,10000000.0,0,-505692388.1858638
8,0.032890540167673336,100.0,0.00044727375230632724,100000000.0,0,-649079520.7777426
8,0.032890540167673336,100.0,0.00044727375230632724,1000000000.0,0,-793262699.1193317
8,0.032890540167673336,1000.0,0.00044727375230632724,1e-09,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,1e-08,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,1e-07,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,1e-06,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,1e-05,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,0.0001,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,0.001,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,0.01,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,0.1,0,-206281113.59805405
8,0.032890540167673336,1000.0,0.00044727375230632724,1.0,0,-206503558.99047387
8,0.032890540167673336,1000.0,0.00044727375230632724,10.0,0,-207723475.13857806
8,0.032890540167673336,1000.0,0.00044727375230632724,100.0,0,
8,0.032890540167673336,1000.0,0.00044727375230632724,1000.0,0,-226450140.96187797
8,0.032890540167673336,1000.0,0.00044727375230632724,10000.0,0,-269975471.0763505
8,0.032890540167673336,1000.0,0.00044727375230632724,100000.0,0,-369563743.261871
8,0.032890540167673336,1000.0,0.00044727375230632724,1000000.0,0,-505699443.87940943
8,0.032890540167673336,1000.0,0.00044727375230632724,10000000.0,0,-649069824.5394732
8,0.032890540167673336,1000.0,0.00044727375230632724,100000000.0,0,-793263818.921609
8,0.032890540167673336,1000.0,0.00044727375230632724,1000000000.0,0,-937536970.778431
8,0.032890540167673336,10000.0,0.00044727375230632724,1e-09,0,-206171907.75777662
8,0.032890540167673336,10000.0,0.00044727375230632724,1e-08,0,-206171907.7844725
8,0.032890540167673336,10000.0,0.00044727375230632724,1e-07,0,-206171908.05143297
8,0.032890540167673336,10000.0,0.00044727375230632724,1e-06,0,-206171910.72103414
8,0.032890540167673336,10000.0,0.00044727375230632724,1e-05,0,-206171937.41678488
8,0.032890540167673336,10000.0,0.00044727375230632724,0.0001,0,-206172204.3480272
8,0.032890540167673336,10000.0,0.00044727375230632724,0.001,0,-206174876.10235634
8,0.032890540167673336,10000.0,0.00044727375230632724,0.01,0,-206205052.44201487
8,0.032890540167673336,10000.0,0.00044727375230632724,0.1,0,-206432084.4366881
8,0.032890540167673336,10000.0,0.00044727375230632724,1.0,0,-207644256.92910913
8,0.032890540167673336,10000.0,0.00044727375230632724,10.0,0,-212085985.8465485
8,0.032890540167673336,10000.0,0.00044727375230632724,100.0,0,-226402265.87841082
8,0.032890540167673336,10000.0,0.00044727375230632724,1000.0,0,-269910671.63247347
8,0.032890540167673336,10000.0,0.00044727375230632724,10000.0,0,-369564609.8290238
8,0.032890540167673336,10000.0,0.00044727375230632724,100000.0,0,-505687148.31668746
8,0.032890540167673336,10000.0,0.00044727375230632724,1000000.0,0,-649072347.4453657
8,0.032890540167673336,10000.0,0.00044727375230632724,10000000.0,0,-793264806.0236105
8,0.032890540167673336,10000.0,0.00044727375230632724,100000000.0,0,-937530389.3299359
8,0.032890540167673336,10000.0,0.00044727375230632724,1000000000.0,0,-1081810556.602233
8,0.032890540167673336,100000.0,0.00044727375230632724,1e-09,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,1e-08,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,1e-07,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,1e-06,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,1e-05,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,0.0001,0,
8,0.032890540167673336,100000.0,0.00044727375230632724,0.001,0,-206135543.94111264
8,0.032890540167673336,100000.0,0.00044727375230632724,0.01,0,-206352098.73482698
8,0.032890540167673336,100000.0,0.00044727375230632724,0.1,0,-207590675.5830681
8,0.032890540167673336,100000.0,0.00044727375230632724,1.0,0,-212005681.32006407
8,0.032890540167673336,100000.0,0.00044727375230632724,10.0,0,-226313708.82697737
